taxon,common_names
Nycteris nana,"[{'taxonname': 'Dwarf Slit-faced Bat', 'primary': False, 'language': 'eng'}]"
Nycteris thebaica,"[{'taxonname': 'Egyptian Slit-faced Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Common Slit-faced Bat', 'primary': False, 'language': 'eng'}, {'taxonname': ""Geoffroy's Nycteris"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Cape Long-eared Bat', 'primary': True, 'language': 'eng'}]"
Nycteris woodi,"[{'taxonname': ""Wood's Slit-faced Bat"", 'primary': True, 'language': 'eng'}, {'taxonname': ""Wood's Long-eared Bat"", 'primary': False, 'language': 'eng'}]"
Eidolon helvum,"[{'taxonname': 'Straw-coloured Fruit Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Pale Xantharpy', 'primary': False, 'language': 'eng'}, {'taxonname': 'Straw-coloured Flying Fox', 'primary': False, 'language': 'eng'}, {'taxonname': 'African Straw-coloured Fruit-bat', 'primary': True, 'language': 'eng'}]"
Epomophorus gambianus,"[{'taxonname': 'Gambian Epauletted Fruit Bat', 'primary': True, 'language': 'eng'}]"
Epomophorus labiatus,"[{'taxonname': 'Ethiopian Epauletted Fruit Bat', 'primary': True, 'language': 'eng'}]"
Epomophorus minor,"[{'taxonname': 'Minor Epauletted Fruit Bat ', 'primary': True, 'language': 'eng'}]"
Epomophorus wahlbergi,"[{'taxonname': ""Wahlberg's Epauletted Fruit Bat"", 'primary': True, 'language': 'eng'}]"
Epomops dobsonii,"[{'taxonname': ""Dobson's Fruit Bat"", 'primary': True, 'language': 'eng'}]"
Epomops franqueti,"[{'taxonname': ""Franquet's Epauletted Fruit Bat"", 'primary': False, 'language': 'eng'}]"
Hypsignathus monstrosus,"[{'taxonname': 'Hammer-headed Fruit Bat', 'primary': True, 'language': 'eng'}]"
Lissonycteris angolensis,"[{'taxonname': 'Angolan Rousette', 'primary': False, 'language': 'eng'}, {'taxonname': 'Angolan Fruit Bat', 'primary': False, 'language': 'eng'}]"
Micropteropus pusillus,"[{'taxonname': ""Peter's Dwarf Epauletted Fruit Bat"", 'primary': True, 'language': 'eng'}]"
Myonycteris relicta,"[{'taxonname': ""Bergmans's Collared Fruit Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': 'East African Little Collared Fruit Bat', 'primary': True, 'language': 'eng'}]"
Pteropus seychellensis comorensis,[]
Pteropus voeltzkowi,"[{'taxonname': 'Pemba Flying Fox', 'primary': True, 'language': 'eng'}, {'taxonname': 'Zorro Volador de Voeltzkow', 'primary': False, 'language': 'spa'}]"
Rousettus aegyptiacus,"[{'taxonname': 'Egyptian Rousette', 'primary': False, 'language': 'eng'}, {'taxonname': 'Egyptian Fruit Bat', 'primary': True, 'language': 'eng'}]"
Rousettus lanosus,"[{'taxonname': 'Long-haired Rousette', 'primary': False, 'language': 'eng'}]"
Rhinolophus blasii,"[{'taxonname': ""Blasius's Horseshoe Bat"", 'primary': True, 'language': 'eng'}, {'taxonname': ""Peters's Horseshoe Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Peak-saddle Horseshoe Bat', 'primary': False, 'language': 'eng'}]"
Rhinolophus clivosus,"[{'taxonname': ""Cretzschmar's Horseshoe Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Arabian Horseshoe Bat', 'primary': False, 'language': 'eng'}, {'taxonname': ""Geoffroy's Horseshoe Bat"", 'primary': True, 'language': 'eng'}]"
Rhinolophus darlingi,"[{'taxonname': ""Darling's Horseshoe Bat"", 'primary': True, 'language': 'eng'}]"
Rhinolophus deckenii,"[{'taxonname': ""Decken's Horseshoe Bat"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Rhinolophe de Decken', 'primary': False, 'language': 'fre'}]"
Rhinolophus eloquens,"[{'taxonname': 'Eloquent Horseshoe Bat', 'primary': True, 'language': 'eng'}]"
Rhinolophus fumigatus,"[{'taxonname': ""Rüppell's Horseshoe Bat"", 'primary': False, 'language': 'eng'}]"
Rhinolophus hildebrandtii,"[{'taxonname': ""Hildebrandt's Horseshoe Bat"", 'primary': True, 'language': 'eng'}]"
Rhinolophus landeri,"[{'taxonname': ""Lander's Horseshoe Bat"", 'primary': False, 'language': 'eng'}]"
Rhinolophus maendeleo,"[{'taxonname': 'Maendeleo Horseshoe Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Rhinolophe de Tanga', 'primary': False, 'language': 'fre'}, {'taxonname': 'Rhinolophe de Maendeleo', 'primary': False, 'language': 'fre'}]"
Rhinolophus simulator,"[{'taxonname': 'Bushveld Horseshoe Bat', 'primary': False, 'language': 'eng'}]"
Rhinolophus swinnyi,"[{'taxonname': ""Swinny's Horseshoe Bat"", 'primary': True, 'language': 'eng'}]"
Glauconycteris argentata,"[{'taxonname': 'Silvered Bat', 'primary': False, 'language': 'eng'}]"
Glauconycteris variegata,"[{'taxonname': 'Butterfly Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Variegated Butterfly Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Leaf-winged Bat', 'primary': False, 'language': 'eng'}]"
Kerivoula africana,"[{'taxonname': 'Tanzanian Woolly Bat', 'primary': True, 'language': 'eng'}]"
Kerivoula argentata,"[{'taxonname': 'Damara Woolly Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Silvery Woolly Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Silvered Woolly Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Silver Woolly Bat', 'primary': False, 'language': 'eng'}]"
Kerivoula lanosa,"[{'taxonname': 'Lesser Woolly Bat', 'primary': True, 'language': 'eng'}]"
Laephotis wintoni,"[{'taxonname': ""De Winton's Long-eared Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Winton's Long-eared Bat"", 'primary': False, 'language': 'eng'}]"
Mimetillus moloneyi,"[{'taxonname': ""Moloney's Flat-headed Bat"", 'primary': False, 'language': 'eng'}]"
Miniopterus africanus,"[{'taxonname': 'African Long-fingered Bat', 'primary': True, 'language': 'eng'}]"
Miniopterus minor,"[{'taxonname': 'Least Long-fingered Bat', 'primary': False, 'language': 'eng'}]"
Miniopterus natalensis,"[{'taxonname': 'Natal Clinging Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Natal Long-fingered Bat', 'primary': True, 'language': 'eng'}]"
Miniopterus schreibersi,[]
Myotis bocagei,[]
Myotis tricolor,"[{'taxonname': 'Cape Hairy Bat', 'primary': False, 'language': 'eng'}, {'taxonname': ""Temminck's Mouse-eared Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Cape Myotis', 'primary': False, 'language': 'eng'}, {'taxonname': 'Three-coloured bat', 'primary': False, 'language': 'eng'}]"
Myotis welwitschii,"[{'taxonname': ""Welwitch's Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Welwitsch's Mouse-eared Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Welwitsch's Myotis"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Welwitsch's Hairy Bat"", 'primary': False, 'language': 'eng'}]"
Neoromicia capensis,"[{'taxonname': 'Cape Serotine', 'primary': False, 'language': 'eng'}, {'taxonname': 'Cape Pipistrelle Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Cape House Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Cape Serotine Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Cape Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Sérotine du Cap', 'primary': False, 'language': 'fre'}]"
Neoromicia guineensis,"[{'taxonname': 'Tiny Serotine', 'primary': False, 'language': 'eng'}, {'taxonname': 'Guinean Pipistrelle Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Sérotine de Guinée', 'primary': False, 'language': 'fre'}, {'taxonname': 'Sérotine minuscule', 'primary': False, 'language': 'fre'}, {'taxonname': 'Pipistrelle de Guinée', 'primary': False, 'language': 'fre'}]"
Neoromicia helios,"[{'taxonname': ""Heller's Pipistrelle"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Helios Pipistrelle Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Samburu Pipistrelle Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Pipistrelle soleil', 'primary': False, 'language': 'fre'}]"
Neoromicia melckorum,"[{'taxonname': ""Melck's House Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Melck's Serotine Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Melck's Pipistrelle Bat"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Pipistrelle des Melcks', 'primary': False, 'language': 'fre'}, {'taxonname': 'Sérotine de Melck', 'primary': False, 'language': 'fre'}]"
Neoromicia nanus,[]
Neoromicia rendalli,"[{'taxonname': ""Rendall's Serotine"", 'primary': True, 'language': 'eng'}, {'taxonname': ""Rendall's Serotine Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Rendall's Pipistrelle Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Rendall's Pipistrelle"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Serotine de Rendall', 'primary': False, 'language': 'fre'}, {'taxonname': 'Pipistrelle de Rendall', 'primary': False, 'language': 'fre'}]"
Neoromicia somalicus,[]
Neoromicia tenuipinnis,"[{'taxonname': 'White-winged Serotine', 'primary': False, 'language': 'eng'}, {'taxonname': 'White-winged Pipistrelle Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'White-winged Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Slenderwinged Pipistrelle Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Sérotine à ailes blanches', 'primary': False, 'language': 'fre'}, {'taxonname': 'Pipistrelle à ailes blanches', 'primary': False, 'language': 'fre'}]"
Neoromicia zuluensis,"[{'taxonname': 'Zulu Pipistrelle Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Aloe Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Aloe Serotine Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Zulu Serotine Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Aloe Serotine', 'primary': False, 'language': 'eng'}, {'taxonname': 'Sérotine des aloes', 'primary': False, 'language': 'fre'}, {'taxonname': 'Pipistrelle zouloue', 'primary': False, 'language': 'fre'}]"
Nycticeinops schlieffeni,"[{'taxonname': ""Schlieffen's Bat"", 'primary': True, 'language': 'eng'}, {'taxonname': ""Schlieffen's Twilight Bat"", 'primary': False, 'language': 'eng'}]"
Pipistrellus hesperidus,"[{'taxonname': 'African Pipistrelle', 'primary': True, 'language': 'eng'}, {'taxonname': 'Dusky Pipistrelle', 'primary': False, 'language': 'eng'}]"
Pipistrellus permixtus,"[{'taxonname': 'Dar-es-salaam Pipistrelle', 'primary': False, 'language': 'eng'}]"
Pipistrellus rueppelli,[]
Pipistrellus rusticus,"[{'taxonname': 'Rusty Pipistrelle', 'primary': False, 'language': 'eng'}, {'taxonname': 'Rusty Pipistrelle Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Rusty Bat', 'primary': True, 'language': 'eng'}]"
Scotoecus albofuscus,"[{'taxonname': 'Light-winged Lesser House Bat', 'primary': True, 'language': 'eng'}, {'taxonname': ""Thomas' House Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Thomas's Lesser House Bat"", 'primary': False, 'language': 'eng'}]"
Scotoecus hindei,[]
Scotoecus hirundo,"[{'taxonname': 'Dark-winged Lesser House Bat', 'primary': True, 'language': 'eng'}]"
Scotophilus dinganii,"[{'taxonname': 'African Yellow Bat', 'primary': False, 'language': 'eng'}, {'taxonname': ""Dingan's Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Yellow-bellied House Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'African Yellow House Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Yellow House Bat', 'primary': False, 'language': 'fre'}]"
Scotophilus leucogaster,"[{'taxonname': 'White-bellied Yellow Bat', 'primary': True, 'language': 'eng'}]"
Scotophilus nigrita,"[{'taxonname': ""Schreber's Yellow Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Giant House Bat', 'primary': True, 'language': 'eng'}]"
Scotophilus viridis,"[{'taxonname': 'Greenish Yellow Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Green House Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Lesser Yellow House Bat', 'primary': False, 'language': 'eng'}]"
Manis gigantea,[]
Manis temminckii,[]
Manis tricuspis,[]
Canis adustus,"[{'taxonname': 'Side-striped Jackal', 'primary': True, 'language': 'eng'}, {'taxonname': 'Le chacal à flancs rayés', 'primary': False, 'language': 'fre'}]"
Canis aureus,"[{'taxonname': 'Golden Jackal', 'primary': True, 'language': 'eng'}, {'taxonname': 'Eurasian Golden Jackal', 'primary': False, 'language': 'eng'}, {'taxonname': 'Golden Jackal', 'primary': False, 'language': 'eng'}, {'taxonname': 'Common Jackal', 'primary': False, 'language': 'eng'}, {'taxonname': 'Asiatic Jackal', 'primary': False, 'language': 'eng'}, {'taxonname': 'Chacal Commun', 'primary': False, 'language': 'fre'}, {'taxonname': 'Chacal Doré', 'primary': False, 'language': 'fre'}, {'taxonname': 'Chacal', 'primary': False, 'language': 'spa'}]"
Canis mesomelas,"[{'taxonname': 'Black-backed Jackal', 'primary': True, 'language': 'eng'}, {'taxonname': 'Silver-backed Jackal', 'primary': False, 'language': 'eng'}, {'taxonname': 'Chacal À Chabraque', 'primary': False, 'language': 'fre'}]"
Lycaon pictus,"[{'taxonname': 'African Wild Dog', 'primary': True, 'language': 'eng'}, {'taxonname': 'Cape Hunting Dog', 'primary': False, 'language': 'eng'}, {'taxonname': 'Painted Hunting Dog', 'primary': False, 'language': 'eng'}, {'taxonname': 'Cynhyene', 'primary': False, 'language': 'fre'}, {'taxonname': 'Loup-peint', 'primary': False, 'language': 'fre'}, {'taxonname': 'Lycaon', 'primary': False, 'language': 'fre'}, {'taxonname': 'Licaon', 'primary': False, 'language': 'spa'}]"
Otocyon megalotis,"[{'taxonname': 'Bat-eared Fox', 'primary': True, 'language': 'eng'}, {'taxonname': ""l 'Otocyon"", 'primary': False, 'language': 'fre'}]"
Acinonyx jubatus,"[{'taxonname': 'Cheetah', 'primary': True, 'language': 'eng'}, {'taxonname': 'Guépard', 'primary': False, 'language': 'fre'}, {'taxonname': 'Chita', 'primary': False, 'language': 'spa'}, {'taxonname': 'Guepardo', 'primary': False, 'language': 'spa'}]"
Caracal caracal,"[{'taxonname': 'Caracal', 'primary': True, 'language': 'eng'}, {'taxonname': 'African Caracal', 'primary': False, 'language': 'eng'}, {'taxonname': 'Asian Caracal', 'primary': False, 'language': 'eng'}, {'taxonname': 'Desert Lynx', 'primary': False, 'language': 'eng'}, {'taxonname': 'Lynx Du Désert', 'primary': False, 'language': 'fre'}, {'taxonname': 'Lince Africano', 'primary': False, 'language': 'spa'}]"
Felis silvestris,"[{'taxonname': 'Wildcat', 'primary': False, 'language': 'eng'}, {'taxonname': 'European Wildcat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Chat sauvage', 'primary': False, 'language': 'fre'}, {'taxonname': 'Gato Montés', 'primary': False, 'language': 'spa'}, {'taxonname': 'Gato Silvestre', 'primary': False, 'language': 'spa'}]"
Leptailurus serval,"[{'taxonname': 'Serval', 'primary': True, 'language': 'eng'}, {'taxonname': 'Chat-tigre', 'primary': False, 'language': 'fre'}]"
Panthera leo,"[{'taxonname': 'Lion', 'primary': True, 'language': 'eng'}, {'taxonname': 'African Lion', 'primary': False, 'language': 'eng'}, {'taxonname': ""Lion d'Afrique"", 'primary': False, 'language': 'fre'}, {'taxonname': 'León', 'primary': False, 'language': 'spa'}]"
Panthera pardus,"[{'taxonname': 'Leopard', 'primary': True, 'language': 'eng'}, {'taxonname': 'Panthère', 'primary': False, 'language': 'fre'}, {'taxonname': 'Léopard', 'primary': False, 'language': 'fre'}, {'taxonname': 'Leopardo', 'primary': False, 'language': 'spa'}, {'taxonname': 'Pantera', 'primary': False, 'language': 'spa'}]"
Atilax paludinosus,"[{'taxonname': 'Marsh Mongoose', 'primary': True, 'language': 'eng'}, {'taxonname': 'Water Mongoose', 'primary': False, 'language': 'eng'}, {'taxonname': 'Mangouste des marais', 'primary': False, 'language': 'fre'}]"
Bdeogale crassicauda,"[{'taxonname': 'Bushy-tailed Mongoose', 'primary': True, 'language': 'eng'}, {'taxonname': 'Mangouste à queue touffue', 'primary': False, 'language': 'fre'}]"
Bdeogale jacksoni,"[{'taxonname': ""Jackson's Mongoose"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Mangouste de Jackson', 'primary': False, 'language': 'fre'}]"
Galerella sanguinea,[]
Helogale parvula,"[{'taxonname': 'Common Dwarf Mongoose', 'primary': True, 'language': 'eng'}, {'taxonname': 'Dwarf Mongoose', 'primary': False, 'language': 'eng'}, {'taxonname': 'Mangouste naine', 'primary': False, 'language': 'fre'}]"
Herpestes ichneumon,"[{'taxonname': 'Large Grey Mongoose', 'primary': False, 'language': 'eng'}, {'taxonname': 'Egyptian Mongoose', 'primary': True, 'language': 'eng'}, {'taxonname': 'Mangouste ichneumon', 'primary': False, 'language': 'fre'}, {'taxonname': ""Mangouste d'Egypte"", 'primary': False, 'language': 'fre'}, {'taxonname': 'Meloncillo', 'primary': False, 'language': 'spa'}]"
Herpestes naso,"[{'taxonname': 'Long-nosed Mongoose', 'primary': True, 'language': 'eng'}, {'taxonname': 'Mangouste à long museau', 'primary': False, 'language': 'fre'}]"
Ichneumia albicauda,"[{'taxonname': 'White-tailed Mongoose', 'primary': True, 'language': 'eng'}, {'taxonname': 'Mangouste à queue blanche', 'primary': False, 'language': 'fre'}]"
Mungos mungo,"[{'taxonname': 'Banded Mongoose', 'primary': True, 'language': 'eng'}, {'taxonname': 'Mangue rayée', 'primary': False, 'language': 'fre'}]"
Rhynchogale melleri,"[{'taxonname': ""Meller's Mongoose"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Mangouste de Meller', 'primary': False, 'language': 'fre'}]"
Crocuta crocuta,"[{'taxonname': 'Spotted Hyaena', 'primary': True, 'language': 'eng'}]"
Hyaena hyaena,"[{'taxonname': 'Striped Hyaena', 'primary': True, 'language': 'eng'}, {'taxonname': 'Hyène rayée', 'primary': False, 'language': 'fre'}, {'taxonname': 'Hiena Rayada', 'primary': False, 'language': 'spa'}]"
Proteles cristata,"[{'taxonname': 'Aardwolf', 'primary': True, 'language': 'eng'}, {'taxonname': 'Protèle', 'primary': False, 'language': 'fre'}, {'taxonname': 'Lobo de Tierra', 'primary': False, 'language': 'spa'}]"
Aonyx capensis,"[{'taxonname': 'African Clawless Otter', 'primary': True, 'language': 'eng'}, {'taxonname': 'Cape Clawless Otter', 'primary': False, 'language': 'eng'}, {'taxonname': 'Loutre à joues blanches', 'primary': False, 'language': 'fre'}, {'taxonname': 'Nutria Africana', 'primary': False, 'language': 'spa'}, {'taxonname': 'Nutria de Cuello Blanco', 'primary': False, 'language': 'spa'}]"
Hydrictis maculicollis,"[{'taxonname': 'Spotted-necked Otter', 'primary': True, 'language': 'eng'}, {'taxonname': 'Speckle-throated Otter', 'primary': False, 'language': 'eng'}, {'taxonname': 'Spot-necked Otter', 'primary': False, 'language': 'eng'}, {'taxonname': 'Loutre à cou tacheté', 'primary': False, 'language': 'fre'}, {'taxonname': 'Nutria de Cuello Manchado', 'primary': False, 'language': 'spa'}]"
Ictonyx striatus,"[{'taxonname': 'Zorilla', 'primary': True, 'language': 'eng'}, {'taxonname': 'Striped Weasel', 'primary': False, 'language': 'eng'}, {'taxonname': 'Striped Polecat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Zorille commun', 'primary': False, 'language': 'fre'}]"
Mellivora capensis,"[{'taxonname': 'Honey Badger', 'primary': True, 'language': 'eng'}, {'taxonname': 'Ratel', 'primary': False, 'language': 'eng'}, {'taxonname': 'Ratel', 'primary': False, 'language': 'fre'}, {'taxonname': 'Blaireau à miel', 'primary': False, 'language': 'fre'}]"
Poecilogale albinucha,"[{'taxonname': 'African Striped Weasel', 'primary': True, 'language': 'eng'}, {'taxonname': 'Poecilogale à nuque blanche', 'primary': False, 'language': 'fre'}]"
Nandinia binotata,"[{'taxonname': 'African Palm Civet', 'primary': True, 'language': 'eng'}, {'taxonname': 'Two-spotted Palm Civet', 'primary': False, 'language': 'eng'}, {'taxonname': 'Tree Civet', 'primary': False, 'language': 'eng'}, {'taxonname': 'Nandinie', 'primary': False, 'language': 'fre'}]"
Civettictis civetta,"[{'taxonname': 'African Civet', 'primary': True, 'language': 'eng'}, {'taxonname': ""Civette d'Afrique"", 'primary': False, 'language': 'fre'}, {'taxonname': 'Civette africaine', 'primary': False, 'language': 'fre'}]"
Genetta angolensis,"[{'taxonname': 'Miombo Genet', 'primary': True, 'language': 'eng'}, {'taxonname': 'Angolan Genet', 'primary': False, 'language': 'eng'}, {'taxonname': ""Genette d'Angola"", 'primary': False, 'language': 'fre'}]"
Genetta genetta,"[{'taxonname': 'Common Genet', 'primary': True, 'language': 'eng'}, {'taxonname': 'Genette commune', 'primary': False, 'language': 'fre'}, {'taxonname': 'Gineta', 'primary': False, 'language': 'spa'}]"
Genetta maculata,"[{'taxonname': 'Rusty-spotted Genet', 'primary': False, 'language': 'eng'}, {'taxonname': 'Panther Genet', 'primary': False, 'language': 'eng'}, {'taxonname': 'Central African Large-spotted Genet', 'primary': False, 'language': 'eng'}, {'taxonname': 'Blotched Genet', 'primary': False, 'language': 'eng'}, {'taxonname': 'Large-spotted Genet', 'primary': True, 'language': 'eng'}, {'taxonname': 'Genette commune à grandes taches', 'primary': False, 'language': 'fre'}, {'taxonname': 'Genette à taches rousses', 'primary': False, 'language': 'fre'}]"
Genetta servalina,"[{'taxonname': 'Servaline Genet', 'primary': True, 'language': 'eng'}, {'taxonname': 'Genette servaline', 'primary': False, 'language': 'fre'}]"
Viverricula indica,"[{'taxonname': 'Small Indian Civet', 'primary': True, 'language': 'eng'}, {'taxonname': 'Oriental Civet', 'primary': False, 'language': 'eng'}, {'taxonname': 'Civette Indienne', 'primary': False, 'language': 'fre'}]"
Equus burchelli,[]
Diceros bicornis,"[{'taxonname': 'Hook-lipped Rhinoceros', 'primary': False, 'language': 'eng'}, {'taxonname': 'Black Rhino', 'primary': True, 'language': 'eng'}, {'taxonname': 'Black Rhinoceros', 'primary': False, 'language': 'eng'}, {'taxonname': 'Rhinocéros noir', 'primary': False, 'language': 'fre'}, {'taxonname': 'Rinoceronte Negro', 'primary': False, 'language': 'spa'}]"
Aepyceros melampus,"[{'taxonname': 'Impala', 'primary': True, 'language': 'eng'}, {'taxonname': 'Black-faced Impala', 'primary': False, 'language': 'eng'}, {'taxonname': 'Common Impala', 'primary': False, 'language': 'eng'}, {'taxonname': 'Impala', 'primary': False, 'language': 'fre'}]"
Alcelaphus buselaphus,"[{'taxonname': 'Hartebeest', 'primary': True, 'language': 'eng'}, {'taxonname': 'Bubale', 'primary': False, 'language': 'fre'}]"
Alcelaphus lichtensteinii,[]
Bos taurus,[]
Capra hircus,[]
Cephalophus adersi,"[{'taxonname': ""Aders' Duiker"", 'primary': True, 'language': 'eng'}]"
Cephalophus natalensis,"[{'taxonname': 'Natal Red Duiker', 'primary': True, 'language': 'eng'}, {'taxonname': 'Natal Duiker', 'primary': False, 'language': 'eng'}, {'taxonname': 'Red Forest Duiker', 'primary': False, 'language': 'eng'}, {'taxonname': 'Céphalophe du Natal', 'primary': False, 'language': 'fre'}]"
Cephalophus spadix,"[{'taxonname': ""Abbott's Duiker"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Minde', 'primary': False, 'language': 'eng'}, {'taxonname': ""Céphalophe d'Abbott"", 'primary': False, 'language': 'fre'}]"
Connochaetes taurinus,"[{'taxonname': 'Common Wildebeest', 'primary': True, 'language': 'eng'}, {'taxonname': 'Blue Wildebeest', 'primary': False, 'language': 'eng'}, {'taxonname': 'White-bearded Wildebeest', 'primary': False, 'language': 'eng'}, {'taxonname': 'Brindled Gnu', 'primary': False, 'language': 'eng'}, {'taxonname': 'Gnou bleu', 'primary': False, 'language': 'fre'}]"
Damaliscus korrigum,[]
Eudorcus thomsonii,[]
Hippotragus equinus,"[{'taxonname': 'Roan Antelope', 'primary': True, 'language': 'eng'}, {'taxonname': 'Hippotrague', 'primary': False, 'language': 'fre'}, {'taxonname': 'Antilope rouane', 'primary': False, 'language': 'fre'}, {'taxonname': 'Antilope chevaline', 'primary': False, 'language': 'fre'}]"
Hippotragus niger,"[{'taxonname': 'Sable Antelope', 'primary': True, 'language': 'eng'}, {'taxonname': 'Hippotrague noir', 'primary': False, 'language': 'fre'}, {'taxonname': 'Antílope Sable Negro', 'primary': False, 'language': 'spa'}]"
Kobus ellipsiprymnus,"[{'taxonname': 'Waterbuck', 'primary': True, 'language': 'eng'}, {'taxonname': 'Cobe onctueux', 'primary': False, 'language': 'fre'}]"
Kobus vardonii,"[{'taxonname': 'Puku', 'primary': True, 'language': 'eng'}, {'taxonname': 'Puku', 'primary': False, 'language': 'fre'}]"
Litocranius walleri,"[{'taxonname': 'Gerenuk', 'primary': True, 'language': 'eng'}, {'taxonname': 'Gazelle de Waller', 'primary': False, 'language': 'fre'}, {'taxonname': 'Gazelle-Giraffe', 'primary': False, 'language': 'fre'}]"
Madoqua kirkii,"[{'taxonname': ""Kirk's Dik-dik"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Dik-dik de Kirk', 'primary': False, 'language': 'fre'}]"
Nanger granti,"[{'taxonname': ""Grant's Gazelle"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Gazelle de Grant', 'primary': False, 'language': 'fre'}]"
Neotragus moschatus,[]
Oreotragus oreotragus,"[{'taxonname': 'Klipspringer', 'primary': True, 'language': 'eng'}, {'taxonname': 'Oréotrague', 'primary': False, 'language': 'fre'}]"
Oryx beisa,"[{'taxonname': 'Beisa Oryx', 'primary': True, 'language': 'eng'}, {'taxonname': 'Oryx Beisa', 'primary': False, 'language': 'fre'}]"
Ourebia ourebi,"[{'taxonname': 'Oribi', 'primary': True, 'language': 'eng'}, {'taxonname': 'Ourébi', 'primary': False, 'language': 'fre'}]"
Ovis aries,[]
Philantomba monticola,"[{'taxonname': 'Blue Duiker', 'primary': True, 'language': 'eng'}, {'taxonname': 'Céphalophe bleu', 'primary': False, 'language': 'fre'}, {'taxonname': 'Duiquero Azul', 'primary': False, 'language': 'spa'}]"
Raphicerus campestris,"[{'taxonname': 'Steenbok', 'primary': True, 'language': 'eng'}, {'taxonname': 'Steenbok', 'primary': False, 'language': 'fre'}]"
Raphicerus sharpei,"[{'taxonname': ""Sharpe's Grysbok"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Grysbok de Sharpe', 'primary': False, 'language': 'fre'}]"
Redunca arundinum,"[{'taxonname': 'Southern Reedbuck', 'primary': True, 'language': 'eng'}, {'taxonname': 'Redunca grande', 'primary': False, 'language': 'fre'}]"
Redunca fulvorufula,"[{'taxonname': 'Mountain Reedbuck', 'primary': True, 'language': 'eng'}, {'taxonname': 'Redunca de montagne', 'primary': False, 'language': 'fre'}]"
Redunca redunca,"[{'taxonname': 'Bohor Reedbuck', 'primary': True, 'language': 'eng'}, {'taxonname': 'Common Reedbuck', 'primary': False, 'language': 'eng'}, {'taxonname': 'Cobe de Roseaux', 'primary': False, 'language': 'fre'}]"
