order,url,page_type,section,opt_a_link,opt_a_text,opt_a_img,opt_b_link,opt_b_text,opt_b_img,other_images,other_text,match_taxon,match_common,image_credits
869,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=94,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_olivieri_94_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_C_olivieri_94_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_olivieri_94.jpg,,Crocidura,,
872,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=73,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_fischeri_73.jpg,,Crocidura,,
874,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=108,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_voi_108_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_voi_108.jpg,,Crocidura,,
875,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=95,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_parvipes_95_b.jpg,,Crocidura,,
873,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=16,Option-page,Section: Soricidae,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=108,A.  The ear is equal to or longer than 10 mm.B.  The hind foot ranges from 12 to 14 mm.C.  The greatest length of the skull is greater than 22 mm.,http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_16a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=95,"A.  The skin may be markedly bicolored.B.  The hind foot is whitish, and is equal to or less than 13 mm.C.  The ear is equal to or less than 10 mm.D.  The greatest length of the skull is less than 21.5 mm.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_16b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
871,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=15,Option-page,Section: Soricidae,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=73,"A.  The skin is markedly bicolored, with the ventrum being white or almost so.B.  The numerous long tail hairs are white.C.  The hindfoot is greater than 13 mm long.D.  The greatest length of the skull is greater than 25 mm.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_15a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=16,"A.  The skin is bicolored, but not markedly so, as the chest and belly are more gray than white.B.  If the ventrum appears whitish and in contrast to the dorsum, the hind foot is equal to or less than 13 mm.C.  The greatest length of the skull is less than 25 mm.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_15b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
878,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=70,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_desperata_70_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_desperata_70.jpg,,Crocidura,,
879,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=103,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_telfordi_103_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_C_telfordi_103_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_telfordi_103.jpg,,Crocidura,,
877,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=3&key=18,Option-page,Section: Soricidae,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=70,"A.  The upper incisors are very long and slender.B.  From the lateral view the first upper unicuspid is twice as long as the 2nd and 3rd.C.  The greatest width of the braincase is less than 11 mm.D.  The least interorbital width is less than 5 mm.E.  The tail has many bristles along the first 2/3 of its length, is less than 72 mm, and tapirs from base to tip.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_18a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=103,"A.  The upper incisors are not so long and slender.B.  The greatest width of the braincase is greater than 11 mm.C.  The least interorbital width is greater than 5 mm.D.  The tail is greater than 72 mm, and remains slender from base to tip, and the long guard hairs are found on only the first half.",http://archive.fieldmuseum.org/tanzania/Key_Images/Soricidae_1_18b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
882,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=90,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_C_nana_90_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_C_nana_90.jpg,,Crocidura,,
