order,url,page_type,section,opt_a_link,opt_a_text,opt_a_img,opt_b_link,opt_b_text,opt_b_img,other_images,other_text,match_taxon,match_common,image_credits
3,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=158,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_158a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_158b.jpg,['There is 1 species recorded from Tanzania: Manis temminckii.  The absence of teeth and presence of scales over the entire body differentiate this mammal from all others in Tanzania.'],Manis,,©R. Banasiak | ©R. Banasiak
6,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=395,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_E_australis_395_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_E_australis_395_b.jpg,,Eubalaena,,
8,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=400,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_M_novaeangliae_400_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_M_novaeangliae_400_b.jpg,,Megaptera,,
9,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=165,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_165a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_165b.jpg,"[""There are 4 species known in Tanzania: Balaenoptera borealis (Sei Whale), Balaenoptera edeni (Bryde's or Tropical Whale), Balaenoptera musculus (Blue Whale), and Balaenoptera physalus (Fin Whale).""]",Balaenoptera,,©B. Mehl | ©B. Stanley
7,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=27&key=2,Option-page,Section: Mysticeti,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=400,"A.  The width of the rostrum is less than 58% of the zygomatic width (Clapham & Mead, 1999).
B.  From a ventral view, the outside edge of the squamosal bone is relatively rounded as it comes from the back of the skull and turns to run along the side of the skull.",http://archive.fieldmuseum.org/tanzania/Key_Images/Mysticeti_2a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=165,"A.  The width of the rostrum is greater than 58% of the zygomatic width (Clapham & Mead, 1999).
B.  From a ventral view, the outside edge of the squamosal bone is sharply angled as it comes from the back of the skull and turns to run along the side of the skull.",http://archive.fieldmuseum.org/tanzania/Key_Images/Mysticeti_2b.jpg,,"['', '', '©B. Stanley; USNM 269982', '©B. Stanley; USNM 504944', 'Select', 'Select']",,,©B. Stanley; USNM 269982 | ©B. Stanley; USNM 504944
5,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=27&key=1,Option-page,Section: Mysticeti,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=395,"A. The rostrum of the cranium is significantly arched. 
",http://archive.fieldmuseum.org/tanzania/Key_Images/Mysticeti_1a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=27&key=2,"A. The rostrum of the cranium is not significantly arched. 
",http://archive.fieldmuseum.org/tanzania/Key_Images/Mysticeti_1b.jpg,,"['', '', '©R. Banasiak', '©B. Stanley; USNM 269982 & 504944', 'Select', 'Select']",,,©R. Banasiak | ©B. Stanley; USNM 269982 & 504944
10,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=159,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_159a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_159b.jpg,['There is 1 species recorded from Tanzania: Grampus griseus.  This whale is characterized by scars over the body that is the result of other Grampus.'],Grampus,,©P. Hamilton | ©R. Banasiak
4,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=1&key=3,Option-page,Section: General,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=27&key=1,"A.  There are no teeth present in either the upper or lower jaw, but there may be baleen present in the upper jaw.
B.  The greatest length of the skull is longer than 1 metre.",http://archive.fieldmuseum.org/tanzania/Key_Images/General_3a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=159,"A.  There are neither teeth nor baleen in the upper jaw.
B.  There are two holes in the front of the lower jaw where teeth once were.
C.  The greatest length of the skull is shorter than 1 metre.


",http://archive.fieldmuseum.org/tanzania/Key_Images/General_3b.jpg,,"['', '', '©R. Banasiak & B. Mehl', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak & B. Mehl | ©R. Banasiak
2,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=1&key=2,Option-page,Section: General,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=158,"A.  There are no teeth present in either the upper or lower jaw and there is no baleen present in the upper jaw.
B.  There are conical bony projections at the front end of the lower jaw, which are not teeth.
C.  The greatest length of the skull is shorter than 200 mm.
D.  The animal does not live in the ocean.",http://archive.fieldmuseum.org/tanzania/Key_Images/General_2a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=1&key=3,"A.  There are no teeth present in either the upper or lower jaw, but there may be baleen present in the upper jaw.
B.  There are no conical bony projections at the front end of the lower jaw.
C.  The greatest length of the skull is longer than 200 mm.
D.  The animal lives in the ocean.",http://archive.fieldmuseum.org/tanzania/Key_Images/General_2b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
12,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=17,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_L_africana_17_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_L_africana_17_b.jpg,,Loxodonta,,
14,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=19,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_D_dugon_19_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_D_dugon_19_b.jpg,,Dugong,,
18,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=159,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_159a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_159b.jpg,['There is 1 species recorded from Tanzania: Grampus griseus.  This whale is characterized by scars over the body that is the result of other Grampus.'],Grampus,,©P. Hamilton | ©R. Banasiak
20,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=208,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_208a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_208b.jpg,['There is 1 species recorded in Tanzania: Kogia breviceps.  Like the bigger sperm whale the skull of this whale is asymetrical in that one nostril is much larger than the other.  Look at the dorsal view of the skull (left in the picture; ventral view is right).'],Kogia,,©J. Howland | ©B. Stanley
21,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=197,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_197a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_197b.jpg,"['There is 1 species recorded in Tanzania: Physeter macrocephalus.  This unique whale is the species that was featured in the classic novel ""Moby Dick"".  ']",Physeter,,©J. Howland | ©R. Banasiak
19,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=3,Option-page,Section: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=208,"On either side of the lower jaw, there are 16 or fewer teeth.",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_3a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=197,"On either side of the lower jaw, there are 18 or more teeth.",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_3b.jpg,,"['', '', '©B. Stanley; USNM 504338', '©R. Banasiak', 'Select', 'Select']",,,©B. Stanley; USNM 504338 | ©R. Banasiak
17,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=2,Option-page,Section: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=159,"On either side of the lower jaw, there are 7 or fewer teeth (often only 1-3 teeth).",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_2a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=3,"On either side of the lower jaw, there are 8 or more teeth.",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_2b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
24,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=209,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_209a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_209b.jpg,['There is 1 species known from Tanzania: Globicephala macrorhynchus.'],Globicephala,,©J. Howland | ©P. Lai
26,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=210,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_210a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_210b.jpg,['There is 1 species recorded in Tanzania: Pseudorca crassidens.  Look for the hump in the leading edge of the flipper to identify this marine mammal.'],Pseudorca,,©P. Hamilton | ©B. Stanley
27,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=213,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_213a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_213b.jpg,['There is 1 species recorded in Tanzania (and only 1 in the genus): Orcinus orca.  Another common name for this distinct whale is Orca. '],Orcinus,,©R. Banasiak | ©B. Stanley
25,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=6,Option-page,Section: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=210,The teeth are circular in cross section.,http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_6a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=213,The teeth are wider than long.,http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_6b.jpg,,"['', '', '©B. Stanley; USNM 485827', '©B. Stanley; USNM 23004', 'Select', 'Select']",,,©B. Stanley; USNM 485827 | ©B. Stanley; USNM 23004
23,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=5,Option-page,Section: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=209,There are teeth only in the first half of the upper jaw.,http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_5a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=6,The teeth are distributed along most of the length of the upper jaw.,http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_5b.jpg,,"['', '', '©P. Lai', '©B. Stanley; USNM 485827', 'Select', 'Select']",,,©P. Lai | ©B. Stanley; USNM 485827
29,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=200,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_200a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_200b.jpg,['There is 1 species recorded in  Tanzania: Steno bredanensis.  The very fine cracks and striations on the teeth of this dolphin give it the common name and distinguish it from other dolphins.'],Steno,,©P. Hamilton | ©P. Lai
31,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=201,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_201a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_201b.jpg,['There is 1 species recorded in Tanzania:  Lagenodelphis hosei.  The short snout of this dolphin is characteristic.'],Lagenodelphis,,©P. Hamilton | ©B. Stanley
34,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=199,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_199a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_199b.jpg,['There is 1 species recorded in Tanzania: Sousa chinensis.  The raised ridge along the back of this marine mammal is characteristic.  Do not confuse the common name of this dolphin with that of the Humpback Whale (Megaptera).'],Sousa,,©P. Hamilton | ©B. Stanley
35,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=211,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_211a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_211b.jpg,['There is 1 species recorded in Tanzania: Tursiops truncatus.  This is probably the most familiar of all the dolphins because of the number of this species in zoos around the world.'],Tursiops,,©P. Hamilton | ©R. Banasiak & P. Lai
33,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=10,Option-page,Section: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=199,The two sides of the lower jaw are fused for approximately 1/4 of the length of the lower jaw.,http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_10a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=211,The two sides of the lower jaw are fused for less than 1/4 of the length of the lower jaw.,http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_10b.jpg,,"['', '', '©B. Stanley; USNM 258859', '©R. Banasiak', 'Select', 'Select']",,,©B. Stanley; USNM 258859 | ©R. Banasiak
37,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=203,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_203a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_203b.jpg,['There is 1 species recorded from Tanzania: Delphinus delphis.  Little is known about the distribution of this species along the coast of Tanzania.  Look for the striking coloration pattern on the side of the animal.'],Delphinus,,©M. Svendsen | ©P. Lai
38,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=202,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_202a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_202b.jpg,"['There are 2 species recorded in Tanzania: Stenella attenuata and Stenella longirostris.  Look for either an elongated beak and tall erect dorsal fin (in Stenella longirostris, the Spinner Dolphin) or spots on the side (in Stenella attenuata, the Bridled Dolphin).']",Stenella,,©P. Hamilton | ©P. Lai
36,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=11,Option-page,Section: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=203,There are grooves on the bony palate.,http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_11a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=202,There are no grooves on the bony palate.,http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_11b.jpg,,"['', '', '©P. Lai', '©P. Lai', 'Select', 'Select']",,,©P. Lai | ©P. Lai
32,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=9,Option-page,Section: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=10,"The diameter of the largest tooth in either the upper or the lower jaw is 5 mm, or greater.",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_9a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=11,"The diameter of the largest tooth in either the upper or the lower jaw is 4 mm, or less.",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_9b.jpg,,"['', '', '©P. Lai', '©P. Lai', 'Select', 'Select']",,,©P. Lai | ©P. Lai
30,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=8,Option-page,Section: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=201,The dorsal surface of the rostrum is flat in lateral view.,http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_8a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=9,The dorsal surface of the rostrum is convex in lateral view.,http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_8b.jpg,,"['', '', '©B. Stanley; USNM 550022', '©P. Lai', 'Select', 'Select']",,,©B. Stanley; USNM 550022 | ©P. Lai
28,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=7,Option-page,Section: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=200,The teeth have rough tips in the form of vertical striations.,http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_7a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=8,"The teeth are smooth, and do not have tips with vertical striations.",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_7b.jpg,,"['', '', '©P. Lai & B. Stanley; USNM 49628', '©P. Lai', 'Select', 'Select']",,,©P. Lai & B. Stanley; USNM 49628 | ©P. Lai
22,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=4,Option-page,Section: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=5,"On either side of the upper and lower jaw combined, there are 26 or fewer teeth.",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_4a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=7,"On either side of the upper and lower jaw combined, there are 40 or more teeth.",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_4b.jpg,,"['', '', '©B. Stanley; USNM 485827', '©R. Banasiak', 'Select', 'Select']",,,©B. Stanley; USNM 485827 | ©R. Banasiak
16,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=1,Option-page,Section: Odontoceti,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=2,"(This portion of the key is adapted from Best, 1971).
There are teeth in the lower jaw only.",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_1a.jpg,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=29&key=4,"(This portion of the key is adapted from Best, 1971).
There are teeth in both the upper and the lower jaw.",http://archive.fieldmuseum.org/tanzania/Key_Images/Odontoceti_1b.jpg,,"['', '', '©R. Banasiak', '©P. Lai & B. Stanley; USNM 485827', 'Select', 'Select']",,,©R. Banasiak | ©P. Lai & B. Stanley; USNM 485827
40,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=12,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_O_afer_12_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_O_afer_12_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_O_afer_12.jpg,,Orycteropus,,
45,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=605,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_T_swinderianus_605_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_T_swinderianus_605.jpg,,Thryonomys,,
46,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=604,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_T_gregorianus_604_a2.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_T_gregorianus_604_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_T_gregorianus_604.jpg,,Thryonomys,,
44,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=15&key=58,Option-page,Section: Rodentia,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=605,A.  The skull is arched anteriorly.B.  The tail is greater than 160 mm.C.  The belly is white.,http://archive.fieldmuseum.org/tanzania/Key_Images/Thryonomys_1_1a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=604,A.  The skull is not much arched anteriorly.B.  The tail is less than 160 mm.C.  The belly is not white.,http://archive.fieldmuseum.org/tanzania/Key_Images/Thryonomys_1_1b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
50,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=603,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_H_cristata_603_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_H_cristata_603_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_H_cristata_603.jpg,,Hystrix,,
51,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=602,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_H_africaeaustralis_602_b2.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_H_africaeaustralis_602.jpg,,Hystrix,,
49,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=15&key=57,Option-page,Section: Rodentia,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=603,A.  The width of the premaxilla is 40 % of the nasal width and the nasals are over 57% of occipitonasal length.B.  The vertical aspect of the zygomatic process is not wide.C.  The quills at the end of tail are slender and less than 50 mm in length.D.  The coloured stripe along the midline of the rump is mottled or black.,http://archive.fieldmuseum.org/tanzania/Key_Images/Hystrix_1_1a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=602,A.  The width of the premaxilla is less than 40 % of the nasal width and the nasals are under 58% of the occipitonasal length.B.  The vertical aspect of the zygomatic process is wide.C.  The quills at the end of tail are thick and greater than 50 mm in length.D.  The coloured stripe along the midline of the rump is white.,http://archive.fieldmuseum.org/tanzania/Key_Images/Hystrix_1_1b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
52,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=595,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_P_surdaster_595_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_P_surdaster_595.jpg,,Petedes,,
48,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=15&key=4,Option-page,Section: Rodentia,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=15&key=57,The upper incisors extend past the front tip of the nasal bone when viewing the skull from the side.,http://archive.fieldmuseum.org/tanzania/Key_Images/Rodentia_4a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=595,"The upper incisors do not extend past the front tip of the nasal bone when viewing the skull from the side.
",http://archive.fieldmuseum.org/tanzania/Key_Images/Rodentia_4b.jpg,,"['', '', '©P.Lai', '©P.Lai', 'Select', 'Select']",,,©P.Lai | ©P.Lai
55,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=70,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_70a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_70b.jpg,['There are 2 species recorded from Tanzania: Cryptomys hottentotus and Cryptomys mechowi.  The white incisors help to differentiate this burrowing rodent from Tachyoryctes and the short fur differentiates it from Heliophobius.'],Cryptomys,,©R. Killackey | ©P. Lai
56,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=599,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_H_argenteocinereus_599_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_H_argenteocinereus_599_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_H_argenteocinereus_599.jpg,,Heliophobius,,
54,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=15&key=6,Option-page,Section: Rodentia,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=70,"A.  The region behind the hard palate is flat with no pits and no swellings on the hamular processes.
B.  The region between the two pterygoid bones is not ""V"" shaped. ",http://archive.fieldmuseum.org/tanzania/Key_Images/Rodentia_6a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=599,"A.  The region behind the palate has pits and there are swellings on the hamular processes.
B.  The region between the two pterygoid bones is ""V"" shaped. ",http://archive.fieldmuseum.org/tanzania/Key_Images/Rodentia_6b.jpg,,"['', '', '©P.Lai', '©P.Lai', 'Select', 'Select']",,,©P.Lai | ©P.Lai
59,http://archive.fieldmuseum.org/tanzania/SkullKey_end.asp?ID=73,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/Key_Images/Results_73a.jpg | http://archive.fieldmuseum.org/tanzania/Key_Images/Results_73b.jpg,['There are 2 species recorded from Tanzania: Xerus erythropus and Xerus rutilus.  The coarse nature of the fur and the extension of the bony palate behind the upper toothrows help to distinguish this squirrel from others.'],Xerus,,©R. Killackey | ©P. Lai
61,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=440,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_P_stangeri_440_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_P_stangeri_440_b.jpg,,Protoxerus,,
64,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=427,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_H_gambianus_427_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_H_gambianus_427_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_H_gambianus_427.jpg,,Heliosciurus,,
66,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=429,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_H_rufobrachium_429_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_H_rufobrachium_429_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_H_rufobrachium_429.jpg,,Heliosciurus,,
68,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=431,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_H_undulatus_431_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_H_undulatus_431_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_H_undulatus_431.jpg,,Heliosciurus,,
69,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=428,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_H_mutabilis_428_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_H_mutabilis_428_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_H_mutabilis_428.jpg,,Heliosciurus,,
67,http://archive.fieldmuseum.org/tanzania/SkullKey.asp?catalog=1&setion=15&key=51,Option-page,Section: Rodentia,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=431,A.  The back of the body is grizzled and slightly yellowish.B.  The dark rings on the tail tend to be distinct and contrasting with other rings on the tail.,http://archive.fieldmuseum.org/tanzania/Key_Images/Heliosciurus_1_3a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=428,"A.  The back of the body is grizzled and slightly orange or brown.B.  Tthe darker rings on the tail tend to be indistinct, and the same colour as the back.",http://archive.fieldmuseum.org/tanzania/Key_Images/Heliosciurus_1_3b.jpg,,"['', '', '©R. Banasiak', '©R. Banasiak', 'Select', 'Select']",,,©R. Banasiak | ©R. Banasiak
