Current IRN,Full sci name,ClaGenus,ClaSpecies,Possible Alt IRN (from aferguson group),sort,5
753040,Mus neavei,Mus,neavei,313243,,
753043,Mus sorella,Mus,sorella,313253,,
753045,Mus tenellus,Mus,tenellus,313256,,
753042,Mus triton,Mus,triton,313258,,
755176,Mylomys dybowskii,Mylomys,dybowskii,313281,,
755153,Myomyscus brockmani,Myomyscus,brockmani,313302,,
313347,Myotis bocagei,Myotis,bocagii,216292,,
755108,Nandinia binotata,Nandinia,binotata,313449,,
313508,Neoromicia capensis,Neoromicia,capensis,214918,,
754806,Oenomys hypoxanthus,Oenomys,hypoxanthus,313743,,
754771,Orcinus orca,Orcinus,orca,313775,,
754737,Otomys angoniensis,Otomys,angoniensis,313856,,
754739,Otomys denti,Otomys,denti,313861,,
754734,Otomys lacustris,Otomys,lacustris,313865,,
754742,Otomys tropicalis,Otomys,tropicalis,313871,,
566569,Ovis aries,Ovis,aries,313881,,
564630,Panthera pardus,Panthera,pardus,313910,,
754650,Paraxerus boehmi,Paraxerus,boehmi,313955,,
754654,Paraxerus cepapi,Paraxerus,cepapi,313956,,
754653,Paraxerus flavovittis,Paraxerus,flavovittis,313958,,
754649,Paraxerus lucifer,Paraxerus,lucifer,313959,,
754651,Paraxerus ochraceus,Paraxerus,ochraceus,313960,,
754652,Paraxerus palliatus,Paraxerus,palliatus,313961,,
754647,Paraxerus vexillarius,Paraxerus,vexillarius,313963,,
754636,Pedetes surdaster,Pedetes,surdaster,313974,,
754634,Pelomys fallax,Pelomys,fallax,313977,,
754631,Pelomys minor,Pelomys,minor,313980,,
754627,Peponocephala electra,Peponocephala,electra,313983,,
754558,Phacochoerus africanus,Phacochoerus,africanus,314111,,
314232,Pipistrellus rueppelli,Pipistrellus,rueppellii,216328,,
754341,Poecilogale albinucha,Poecilogale,albinucha,314284,,
754324,Potamochoerus larvatus,Potamochoerus,larvatus,314298,,
754314,Praomys jacksoni,Praomys,jacksoni,314311,,
754227,Proteles cristata,Proteles,cristata,333388,,
754225,Protoxerus stangeri,Protoxerus,stangeri,314400,,
754166,Pseudorca crassidens,Pseudorca,crassidens,314455,,
754075,Raphicerus campestris,Raphicerus,campestris,314560,,
750854,Rattus norvegicus,Rattus,norvegicus,314601,,
750855,Rattus rattus,Rattus,rattus,314611,,
754068,Redunca arundinum,Redunca,arundinum,314633,,
754067,Redunca fulvorufula,Redunca,fulvorufula,314634,,
754069,Redunca redunca,Redunca,redunca,314635,,
753890,Rhynchogale melleri,Rhynchogale,melleri,314795,,
753855,Saccostomus campestris,Saccostomus,campestris,314832,,
753854,Saccostomus mearnsi,Saccostomus,mearnsi,314833,,
753632,Sousa chinensis,Sousa,chinensis,315093,,
753603,Steatomys parvus,Steatomys,parvus,315180,,
753607,Steatomys pratensis,Steatomys,pratensis,315181,,
753595,Stenella attenuata,Stenella,attenuata,315182,,
753597,Stenella coeruleoalba,Stenella,coeruleoalba,315184,,
753599,Stenella longirostris,Stenella,longirostris,315186,,
753594,Steno bredanensis,Steno,bredanensis,315187,,
564781,Sus scrofa,Sus,scrofa,315261,,
753527,Sylvicapra grimmia,Sylvicapra,grimmia,315266,,
753413,Thallomys loringi,Thallomys,loringi,315423,,
753415,Thallomys paedulcus,Thallomys,paedulcus,315425,,
753350,Thryonomys gregorianus,Thryonomys,gregorianus,315483,,
753351,Thryonomys swinderianus,Thryonomys,swinderianus,315484,,
753292,Tragelaphus spekii,Tragelaphus,spekii,315537,,
753240,Tursiops truncatus,Tursiops,truncatus,315590,,
753224,Uranomys ruddi,Uranomys,ruddi,315603,,
753175,Viverricula indica,Viverricula,indica,315658,,
753147,Xerus erythropus,Xerus,erythropus,315683,,
753146,Xerus rutilus,Xerus,rutilus,315686,,
753134,Zelotomys hildegardeae,Zelotomys,hildegardeae,315697,,
753131,Ziphius cavirostris,Ziphius,cavirostris,315700,,
